# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T17:41:39.715Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Debit Amount,Credit Amount
AZD-UH,Mint Bell Road Phoenix,12250,2026-01-06 DS - Mint Bell Road Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"24,712.52"
MI-GB2,Mint Portage,40001,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,0.00,"10,910.66"
MI-GB2,Mint Portage,40002,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,"2,831.91",0.00
MI-GB2,Mint Portage,40003,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MI-GB2,Mint Portage,40004,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,300.45,0.00
MI-GB2,Mint Portage,23500,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,0.00,"1,338.14"
MI-GB2,Mint Portage,10000,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,"9,197.01",0.00
MI-GB2,Mint Portage,11010,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MI-GB2,Mint Portage,70260,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,80.57,0.00
MI-GB2,Mint Portage,50000,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,"4,934.61",0.00
MI-GB2,Mint Portage,12250,2026-01-06 DS - Mint Portage: Daily Sales,00-00,2026-01-06 DS,0.00,"4,934.61"
AZV-ENCANT,Mint 75th Ave Phoenix,40001,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"20,865.00"
AZV-ENCANT,Mint 75th Ave Phoenix,40002,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,"8,373.35",0.00
AZV-ENCANT,Mint 75th Ave Phoenix,40003,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-ENCANT,Mint 75th Ave Phoenix,40004,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZV-ENCANT,Mint 75th Ave Phoenix,23500,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,"2,892.17"
AZV-ENCANT,Mint 75th Ave Phoenix,10000,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,"14,354.05",0.00
AZV-ENCANT,Mint 75th Ave Phoenix,11010,2026-01-06 DS - Mint 75th Ave Phoenix: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
